ActivityStartDate,MonitoringLocationIdentifier,CharacteristicName,ResultMeasureValue,AU,Impaired,Segment,TMDL,geometry,USGSSite_No,Flow
2012-12-06,TCEQMAIN-20232,Escherichia coli,26,1229_01,N,1229,0,"c(-97.7397, 32.2441)",NA,NA
2015-09-08,TCEQMAIN-10191,Escherichia coli,610,0229_01,Y,0229,0,"c(-101.6711, 34.9651)",NA,NA
2013-07-15,TCEQMAIN-11133,Escherichia coli,4000,1007D_02,Y,1007D,1,"c(-95.3561, 29.6483)",NA,NA
2018-03-15,TCEQMAIN-16676,Escherichia coli,74,1016D_01,Y,1016D,1,"c(-95.2876, 29.9308)",NA,NA
2016-11-01,TCEQMAIN-16076,Escherichia coli,130,0612_03,Y,0612,0,"c(-94.4612, 31.8585)",NA,NA
2017-12-06,TCEQMAIN-12286,Escherichia coli,920,1402_02,N,1402,0,"c(-96.1, 29.308)",USGS-08162000,718
2018-08-27,TCEQMAIN-10853,Escherichia coli,350,0809A_01,N,0809A,0,"c(-97.583, 32.9456)",USGS-08044800,0.59
2014-03-13,TCEQMAIN-15863,Escherichia coli,510,1006D_01,Y,1006D,1,"c(-95.3176, 29.8627)",NA,NA
2016-06-08,TCEQMAIN-10597,Escherichia coli,240,0606_02,Y,0606,0,"c(-95.4738, 32.3741)",NA,NA
2018-03-21,TCEQMAIN-10427,Escherichia coli,61,0505_05,N,0505,0,"c(-94.8505, 32.4767)",NA,NA
2017-07-26,TCEQMAIN-12879,Escherichia coli,38,1911_01,N,1911,1,"c(-98.0644, 28.9515)",USGS-08183500,156
2015-02-04,TCEQMAIN-12592,Escherichia coli,78,1803_03,N,1803,0,"c(-97.3176, 29.1471)",NA,NA
2017-06-27,TCEQMAIN-10585,Escherichia coli,230,0604_01,N,0604,0,"c(-94.3995, 31.0247)",USGS-08033500,2590
2014-11-11,TCEQMAIN-15082,Escherichia coli,130,1811_02,N,1811,0,"c(-98.1339, 29.7097)",USGS-08168913,53.1
2018-12-12,TCEQMAIN-11534,Escherichia coli,330,1241A_02,Y,1241A,0,"c(-101.784, 33.5489)",USGS-08079510,NA
2014-08-04,TCEQMAIN-10610,Escherichia coli,2,0609_01,N,0609,0,"c(-94.1615, 31.0154)",NA,NA
2016-11-30,TCEQMAIN-17066,Escherichia coli,78,1911_08,Y,1911,1,"c(-98.4895, 29.3799)",NA,NA
2017-02-01,TCEQMAIN-11609,Escherichia coli,300,1242N_01,N,1242N,0,"c(-97.0314, 31.5267)",USGS-08096580,NA
2016-04-06,TCEQMAIN-15085,Escherichia coli,100,1911_09,Y,1911,1,"c(-98.4824, 29.4408)",USGS-08177700,0.73
2016-12-06,TCEQMAIN-12293,Escherichia coli,9000,1434_02,N,1434,0,"c(-97.1561, 30.0138)",USGS-08159500,5280
2012-01-10,TCEQMAIN-12640,Escherichia coli,120,1810_01,Y,1810,0,"c(-97.6019, 29.6573)",NA,NA
2015-12-03,TCEQMAIN-11875,Escherichia coli,88,1209_02,N,1209,1,"c(-96.1818, 30.6074)",NA,NA
2016-03-08,TCEQMAIN-10469,Escherichia coli,110,0515_01,N,0515,0,"c(-95.3535, 32.6327)",NA,NA
2017-01-03,TCEQMAIN-11961,Escherichia coli,160,1226_04,N,1226,0,"c(-98.035, 31.9772)",USGS-08094800,NA
2014-02-20,TCEQMAIN-12060,Escherichia coli,310,1244_03,Y,1244,0,"c(-97.5664, 30.5264)",USGS-303022097331200,NA
2014-07-23,TCEQMAIN-18827,Escherichia coli,690,1218_02,Y,1218,0,"c(-97.6879, 31.1035)",NA,NA
2012-10-02,TCEQMAIN-11864,Escherichia coli,10,1206_03,N,1206,0,"c(-98.3023, 32.8632)",USGS-08089000,107
2015-04-02,TCEQMAIN-12292,Escherichia coli,28,1434_01,N,1434,0,"c(-96.887, 29.901)",USGS-08160400,581
2017-05-08,TCEQMAIN-12558,Escherichia coli,78,1810_03,Y,1810,0,"c(-97.6996, 29.9415)",NA,NA
2019-04-16,TCEQMAIN-10627,Escherichia coli,650,0611_01,Y,0611,0,"c(-94.7265, 31.4571)",USGS-08037180,NA
2016-05-24,TCEQMAIN-11250,Escherichia coli,160,1004_02,Y,1004,1,"c(-95.5114, 30.3142)",NA,NA
2013-07-02,TCEQMAIN-13543,Escherichia coli,95,1206_01,N,1206,0,"c(-97.9257, 32.6158)",USGS-08090800,160
2015-10-26,TCEQMAIN-21000,Escherichia coli,2900,0818C_01,Y,0818C,0,"c(-96.3389, 32.5564)",USGS-08062895,722
2015-11-10,TCEQMAIN-12126,Escherichia coli,280,1253_01,N,1253,0,"c(-96.4505, 31.5122)",NA,NA
2015-11-09,TCEQMAIN-18003,Escherichia coli,140,1226_03,N,1226,0,"c(-97.7579, 31.9903)",NA,NA
2018-06-27,TCEQMAIN-15253,Escherichia coli,89,0612_02,Y,0612,0,"c(-94.3972, 31.6487)",NA,NA
2018-03-22,TCEQMAIN-11243,Escherichia coli,340,1004_01,Y,1004,1,"c(-95.3978, 30.2111)",NA,NA
2015-12-02,TCEQMAIN-12394,Escherichia coli,770,1417_01,N,1417,0,"c(-98.7407, 31.5175)",USGS-08143600,2510
2015-04-07,TCEQMAIN-13740,Escherichia coli,690,0821D_01,Y,0821D,0,"c(-96.609, 33.2438)",USGS-08058900,NA
2012-02-28,TCEQMAIN-12665,Escherichia coli,76,1813_05,N,1813,0,"c(-98.2001, 30.0006)",USGS-08170950,NA
2018-02-12,TCEQMAIN-18351,Escherichia coli,21,1402_05,N,1402,0,"c(-96.4173, 29.5803)",NA,NA
2014-07-09,TCEQMAIN-10492,Escherichia coli,48,0604C_01,Y,0604C,0,"c(-94.8231, 31.2633)",NA,NA
2012-11-06,TCEQMAIN-11360,Escherichia coli,3000,1014_01,Y,1014,1,"c(-95.5574, 29.7625)",USGS-08073600,92.4
2016-10-26,TCEQMAIN-11846,Escherichia coli,5,1202_02,N,1202,0,"c(-95.7575, 29.5822)",USGS-08114000,2500
2018-09-25,TCEQMAIN-10132,Escherichia coli,960,0204_01,N,0204,0,"c(-97.1598, 33.7271)",USGS-07316000,11000
2016-12-07,TCEQMAIN-12924,Escherichia coli,460,1913_02,N,1913,0,"c(-98.2307, 29.5508)",USGS-08185065,38.4
2017-06-20,TCEQMAIN-15862,Escherichia coli,2500,1006D_01,Y,1006D,1,"c(-95.3004, 29.8531)",NA,NA
2017-03-08,TCEQMAIN-18828,Escherichia coli,250,1218_02,Y,1218,0,"c(-97.7022, 31.1081)",NA,NA
2016-04-11,TCEQMAIN-14212,Escherichia coli,140,1913_03,N,1913,0,"c(-98.258, 29.554)",NA,NA
2018-11-05,TCEQMAIN-11961,Escherichia coli,57,1226_04,N,1226,0,"c(-98.035, 31.9772)",USGS-08094800,NA
2014-03-03,TCEQMAIN-15848,Escherichia coli,130,1007B_01,Y,1007B,1,"c(-95.6438, 29.7148)",NA,NA
2014-01-22,TCEQMAIN-11187,Escherichia coli,12,1002B_01,N,1002B,0,"c(-95.0997, 30.0558)",NA,NA
2018-04-05,TCEQMAIN-11309,Escherichia coli,3400,1007B_01,Y,1007B,1,"c(-95.3566, 29.7097)",USGS-08075000,318
2018-04-24,TCEQMAIN-13272,Escherichia coli,20,2314_01,Y,2314,0,"c(-106.5403, 31.8028)",NA,NA
2017-01-25,TCEQMAIN-14256,Escherichia coli,96,1911_09,Y,1911,1,"c(-98.4947, 29.3931)",USGS-08178000,27
2013-02-05,TCEQMAIN-10919,Escherichia coli,45,0804_04,N,0804,0,"c(-95.7896, 31.6483)",USGS-08065000,1050
2015-01-21,TCEQMAIN-11187,Escherichia coli,47,1002B_01,N,1002B,0,"c(-95.0997, 30.0558)",NA,NA
2013-08-06,TCEQMAIN-12916,Escherichia coli,70,1912_01,Y,1912,0,"c(-98.6214, 29.2878)",NA,NA
2013-01-03,TCEQMAIN-10266,Escherichia coli,690,0404C_01,Y,0404C,0,"c(-94.9444, 33.0942)",NA,NA
2016-12-13,TCEQMAIN-12392,Escherichia coli,180,1416_01,Y,1416,0,"c(-98.7199, 31.2132)",USGS-08146000,124
2016-02-10,TCEQMAIN-11875,Escherichia coli,27,1209_02,N,1209,1,"c(-96.1818, 30.6074)",NA,NA
2016-05-02,TCEQMAIN-12904,Escherichia coli,520,1911_09,Y,1911,1,"c(-98.4953, 29.4103)",USGS-08178000,32.9
2015-06-29,TCEQMAIN-13177,Escherichia coli,31,2494B_02,N,2494B,0,"c(-97.4546, 25.8787)",USGS-08475000,NA
2018-06-20,TCEQMAIN-20747,Escherichia coli,640,1804A_01,Y,1804A,0,"c(-97.9169, 29.5442)",USGS-08169780,NA
2016-08-08,TCEQMAIN-11394,Escherichia coli,63,1017_01,Y,1017,1,"c(-95.4942, 29.8766)",USGS-08074020,14.3
2015-06-18,TCEQMAIN-11169,Escherichia coli,39000,1007C_01,Y,1007C,1,"c(-95.5623, 29.656)",USGS-08074800,NA
2015-07-21,TCEQMAIN-11875,Escherichia coli,80,1209_02,N,1209,1,"c(-96.1818, 30.6074)",NA,NA
2015-03-16,TCEQMAIN-16596,Escherichia coli,730,1017E_01,Y,1017E,1,"c(-95.4161, 29.7956)",NA,NA
2013-10-14,TCEQMAIN-20723,Escherichia coli,1700,1302E_01,N,1302E,0,"c(-95.7208, 29.16)",NA,NA
2017-12-19,TCEQMAIN-11467,Escherichia coli,1000,1104_02,Y,1104,1,"c(-95.1701, 29.4359)",NA,NA
2015-03-10,TCEQMAIN-12044,Escherichia coli,1400,1257_01,N,1257,0,"c(-97.2973, 31.8122)",USGS-08093100,159
2015-01-20,TCEQMAIN-13664,Escherichia coli,16,2302_04,N,2302,0,"c(-98.3309, 26.1316)",USIBW-08468600,NA
2016-01-07,TCEQMAIN-15845,Escherichia coli,8400,1014_01,Y,1014,1,"c(-95.4795, 29.7734)",NA,NA
2018-10-08,TCEQMAIN-17404,Escherichia coli,240,1806_08,Y,1806,1,"c(-98.6698, 29.8938)",USGS-08167200,NA
2012-04-12,TCEQMAIN-10636,Escherichia coli,180,0612_01,Y,0612,0,"c(-94.3041, 31.5044)",USGS-08038000,NA
2014-04-08,TCEQMAIN-12635,Escherichia coli,24,1809_02,N,1809,0,"c(-97.8952, 29.9371)",NA,NA
2017-08-02,TCEQMAIN-12631,Escherichia coli,29,1809_01,N,1809,0,"c(-97.9157, 29.8714)",USGS-08171350,NA
2013-06-17,TCEQMAIN-12793,Escherichia coli,580,1901_03,Y,1901,1,"c(-97.6436, 28.7356)",NA,NA
2018-02-28,TCEQMAIN-16663,Escherichia coli,1200,1006H_01,Y,1006H,1,"c(-95.2141, 29.8166)",NA,NA
2012-02-01,TCEQMAIN-16805,Escherichia coli,120,1402H_01,N,1402H,0,"c(-96.4375, 29.5357)",NA,NA
2013-09-25,TCEQMAIN-12879,Escherichia coli,83,1911_01,N,1911,1,"c(-98.0644, 28.9515)",USGS-08183500,223
2017-04-18,TCEQMAIN-12051,Escherichia coli,40,1243_01,N,1243,0,"c(-97.5364, 30.9439)",USGS-08104300,60.7
2012-01-09,TCEQMAIN-11897,Escherichia coli,220,1217_02,N,1217,0,"c(-98.0164, 31.0817)",USGS-08103800,10.2
2012-02-08,TCEQMAIN-20457,Escherichia coli,410,1009_01,Y,1009,1,"c(-95.8084, 29.9501)",USGS-08068720,20.2
2013-07-11,TCEQMAIN-17491,Escherichia coli,250,1006D_02,Y,1006D,1,"c(-95.4226, 29.9023)",NA,NA
2015-08-10,TCEQMAIN-18197,Escherichia coli,11,1415_06,N,1415,0,"c(-99.9022, 30.3438)",NA,NA
2018-11-13,TCEQMAIN-12861,Escherichia coli,170,1910_01,N,1910,1,"c(-98.4211, 29.2981)",NA,NA
2017-05-15,TCEQMAIN-15839,Escherichia coli,18,2304_06,N,2304,0,"c(-99.7536, 27.7017)",NA,NA
2014-01-08,TCEQMAIN-20722,Escherichia coli,210,1302D_01,Y,1302D,0,"c(-96.0104, 29.3406)",NA,NA
2018-06-19,TCEQMAIN-18514,Escherichia coli,37,0202I_01,N,0202I,0,"c(-95.3346, 33.8058)",NA,NA
2014-08-12,TCEQMAIN-21025,Escherichia coli,870,0214C_01,N,0214C,0,"c(-98.4989, 33.8843)",USGS-07312610,3.24
2012-03-01,TCEQMAIN-17379,Escherichia coli,420,1221F_01,N,1221F,0,"c(-98.4367, 31.9731)",NA,NA
2017-07-24,TCEQMAIN-17485,Escherichia coli,41,1113C_01,Y,1113C,1,"c(-95.1302, 29.5788)",NA,NA
2015-08-06,TCEQMAIN-10150,Escherichia coli,25,0214_03,N,0214,0,"c(-98.4936, 33.9225)",USGS-07312500,63.6
2018-04-02,TCEQMAIN-16493,Escherichia coli,180,1101B_01,Y,1101B,1,"c(-95.1941, 29.5039)",NA,NA
2018-08-14,TCEQMAIN-17485,Escherichia coli,86,1113C_01,Y,1113C,1,"c(-95.1302, 29.5788)",NA,NA
2015-02-25,TCEQMAIN-12377,Escherichia coli,62,1414_05,N,1414,0,"c(-98.7839, 30.2381)",NA,NA
2016-07-25,TCEQMAIN-10706,Escherichia coli,260,0804L_01,Y,0804L,0,"c(-95.7584, 31.7224)",NA,NA
2017-06-20,TCEQMAIN-18759,Escherichia coli,120,1217F_01,N,1217F,0,"c(-97.7847, 30.9793)",NA,NA
2017-09-13,TCEQMAIN-12791,Escherichia coli,54,1901_02,Y,1901,1,"c(-97.3848, 28.6498)",USGS-08188500,241
2019-03-12,TCEQMAIN-13486,Escherichia coli,43,1226B_01,N,1226B,0,"c(-98.1262, 32.0368)",NA,NA
2014-11-20,TCEQMAIN-15851,Escherichia coli,280,1007B_01,Y,1007B,1,"c(-95.5709, 29.7055)",USGS-08074760,24.1
2017-08-09,TCEQMAIN-16580,Escherichia coli,3400,1901_05,N,1901,1,"c(-98.0581, 28.9426)",USGS-08183500,3410
2015-06-23,TCEQMAIN-11525,Escherichia coli,230,1241A_01,N,1241A,0,"c(-101.3918, 33.3193)",NA,NA
2017-12-06,TCEQMAIN-12290,Escherichia coli,150,1402_06,N,1402,0,"c(-96.5475, 29.7131)",NA,NA
2018-11-27,TCEQMAIN-20999,Escherichia coli,2000,2304_07,Y,2304,0,"c(-100.4465, 28.6249)",NA,NA
2015-03-25,TCEQMAIN-15814,Escherichia coli,960,2304_03,Y,2304,0,"c(-99.5028, 27.5005)",USGS-08459000,NA
2016-04-13,TCEQMAIN-12897,Escherichia coli,6400,1911_07,N,1911,1,"c(-98.4489, 29.3195)",USGS-08178565,901
2014-02-24,TCEQMAIN-10499,Escherichia coli,320,0604M_03,Y,0604M,0,"c(-94.6575, 31.2867)",NA,NA
2015-09-09,TCEQMAIN-11313,Escherichia coli,170,1008_03,Y,1008,1,"c(-95.4367, 30.1103)",USGS-08068500,47.6
2018-06-26,TCEQMAIN-20118,Escherichia coli,1000,1911_09,Y,1911,1,"c(-98.4922, 29.4268)",USGS-08177700,0.33
2014-01-15,TCEQMAIN-12525,Escherichia coli,91,1602_02,Y,1602,1,"c(-96.8748, 29.1567)",NA,NA
2018-03-06,TCEQMAIN-15876,Escherichia coli,4400,1007D_02,Y,1007D,1,"c(-95.417, 29.619)",NA,NA
2016-05-18,TCEQMAIN-11187,Escherichia coli,50,1002B_01,N,1002B,0,"c(-95.0997, 30.0558)",NA,NA
2017-06-21,TCEQMAIN-10231,Escherichia coli,340,0305_01,N,0305,0,"c(-95.5881, 33.4737)",USGS-07343000,56.2
2018-10-10,TCEQMAIN-11434,Escherichia coli,110,1103E_01,Y,1103E,1,"c(-95.136, 29.4387)",NA,NA
2013-07-10,TCEQMAIN-12904,Escherichia coli,490,1911_09,Y,1911,1,"c(-98.4953, 29.4103)",USGS-08178000,42.8
2015-02-04,TCEQMAIN-12879,Escherichia coli,130,1911_01,N,1911,1,"c(-98.0644, 28.9515)",USGS-08183500,224
2013-10-08,TCEQMAIN-11913,Escherichia coli,88,1218_02,Y,1218,0,"c(-97.6717, 31.0994)",NA,NA
2012-12-12,TCEQMAIN-10399,Escherichia coli,18,0503_03,N,0503,0,"c(-93.519, 31.0644)",USGS-08026000,640
2015-02-03,TCEQMAIN-12626,Escherichia coli,67,1808_03,N,1808,0,"c(-97.6509, 29.6661)",USGS-08172000,231
2014-09-18,TCEQMAIN-13638,Escherichia coli,130,1905_01,Y,1905,0,"c(-99.0689, 29.7228)",USGS-08178880,4.94
2014-06-09,TCEQMAIN-12596,Escherichia coli,18,1804_04,N,1804,0,"c(-98.079, 29.673)",NA,NA
2017-04-05,TCEQMAIN-12977,Escherichia coli,110,2106_02,Y,2106,0,"c(-98.19, 28.4623)",NA,NA
2012-05-10,TCEQMAIN-20212,Escherichia coli,550,1014_01,Y,1014,1,"c(-95.456, 29.76)",NA,NA
2018-08-27,TCEQMAIN-16659,Escherichia coli,3200,1007H_01,Y,1007H,1,"c(-95.2656, 29.6959)",NA,NA
2012-04-30,TCEQMAIN-20843,Escherichia coli,120,0612D_01,N,0612D,0,"c(-94.4494, 31.7122)",NA,NA
2018-11-15,TCEQMAIN-12715,Escherichia coli,410,1911C_01,Y,1911C,1,"c(-98.5084, 29.4135)",NA,NA
2012-11-27,TCEQMAIN-12576,Escherichia coli,140,1804A_01,Y,1804A,0,"c(-97.9439, 29.634)",NA,NA
2012-11-07,TCEQMAIN-12881,Escherichia coli,370,1911_03,Y,1911,1,"c(-98.1741, 29.1102)",USGS-08183200,269
2013-07-10,TCEQMAIN-17493,Escherichia coli,730,1014H_01,Y,1014H,1,"c(-95.6929, 29.801)",NA,NA
2015-04-30,TCEQMAIN-16649,Escherichia coli,770,1007O_01,Y,1007O,1,"c(-95.3223, 29.7652)",NA,NA
2014-01-13,TCEQMAIN-10201,Escherichia coli,920,0303B_03,Y,0303B,0,"c(-95.3601, 33.2343)",NA,NA
2018-09-05,TCEQMAIN-12044,Escherichia coli,7,1257_01,N,1257,0,"c(-97.2973, 31.8122)",USGS-08093100,45.1
2018-08-07,TCEQMAIN-20731,Escherichia coli,10000,1004J_01,Y,1004J,0,"c(-95.5078, 30.3215)",NA,NA
2016-09-22,TCEQMAIN-17683,Escherichia coli,170,0841V_01,Y,0841V,1,"c(-97.0006, 32.741)",NA,NA
2012-04-16,TCEQMAIN-12794,Escherichia coli,660,1901_04,Y,1901,1,"c(-97.7371, 28.8487)",USGS-08188060,248
2018-05-24,TCEQMAIN-11145,Escherichia coli,780,1014B_01,Y,1014B,1,"c(-95.8067, 29.7431)",USGS-08072300,33.4
2018-01-04,TCEQMAIN-10226,Escherichia coli,75,0304_01,Y,0304,0,"c(-94.0432, 33.353)",NA,NA
2014-11-17,TCEQMAIN-16663,Escherichia coli,780,1006H_01,Y,1006H,1,"c(-95.2141, 29.8166)",NA,NA
2016-01-13,TCEQMAIN-10429,Escherichia coli,93,0506_02,N,0506,0,"c(-95.2068, 32.5597)",USGS-08019200,6820
2012-01-03,TCEQMAIN-15877,Escherichia coli,590,1007D_03,Y,1007D,1,"c(-95.3367, 29.6453)",NA,NA
2018-11-08,TCEQMAIN-12615,Escherichia coli,93,1806_04,N,1806,1,"c(-99.118, 30.011)",NA,NA
2014-11-19,TCEQMAIN-12166,Escherichia coli,160,1423B_01,N,1423B,0,"c(-100.6305, 31.2737)",USGS-08130500,NA
2014-10-22,TCEQMAIN-13096,Escherichia coli,140,2204_02,Y,2204,0,"c(-97.7023, 27.6652)",USGS-08212820,NA
2015-08-31,TCEQMAIN-20702,Escherichia coli,150,0101_03,N,0101,0,"c(-101.3197, 35.7619)",NA,NA
2015-06-22,TCEQMAIN-17494,Escherichia coli,780,1014L_01,Y,1014L,1,"c(-95.7317, 29.7706)",NA,NA
2016-05-17,TCEQMAIN-13177,Escherichia coli,580,2494B_02,N,2494B,0,"c(-97.4546, 25.8787)",USGS-08475000,NA
2017-11-16,TCEQMAIN-11356,Escherichia coli,370,1014_01,Y,1014,1,"c(-95.5008, 29.7603)",NA,NA
2015-01-15,TCEQMAIN-10969,Escherichia coli,38,0810_01,Y,0810,0,"c(-97.5584, 33.0857)",USGS-08044500,2.98
2015-03-18,TCEQMAIN-15867,Escherichia coli,3200,1007R_02,Y,1007R,1,"c(-95.3421, 29.8062)",NA,NA
2012-12-10,TCEQMAIN-14197,Escherichia coli,250,1902_05,N,1902,0,"c(-98.1272, 29.3953)",NA,NA
2016-05-09,TCEQMAIN-12813,Escherichia coli,2500,1903_02,Y,1903,0,"c(-98.4931, 29.2625)",NA,NA
2017-02-22,TCEQMAIN-12881,Escherichia coli,4400,1911_03,Y,1911,1,"c(-98.1741, 29.1102)",USGS-08183200,4180
2016-11-08,TCEQMAIN-16663,Escherichia coli,960,1006H_01,Y,1006H,1,"c(-95.2141, 29.8166)",NA,NA
2013-02-18,TCEQMAIN-15831,Escherichia coli,2600,1017_02,Y,1017,1,"c(-95.4608, 29.8466)",NA,NA
2012-04-04,TCEQMAIN-11128,Escherichia coli,2700,1007R_04,Y,1007R,1,"c(-95.2278, 29.7717)",NA,NA
2017-10-11,TCEQMAIN-15848,Escherichia coli,6500,1007B_01,Y,1007B,1,"c(-95.6438, 29.7148)",NA,NA
2018-03-21,TCEQMAIN-15863,Escherichia coli,200,1006D_01,Y,1006D,1,"c(-95.3176, 29.8627)",NA,NA
2018-04-02,TCEQMAIN-11139,Escherichia coli,2000,1007B_01,Y,1007B,1,"c(-95.412, 29.6973)",USGS-08075000,203
2013-02-26,TCEQMAIN-11133,Escherichia coli,1400,1007D_02,Y,1007D,1,"c(-95.3561, 29.6483)",NA,NA
2013-07-23,TCEQMAIN-13202,Escherichia coli,47,2304_04,N,2304,0,"c(-99.5239, 27.5231)",NA,NA
2018-08-13,TCEQMAIN-20777,Escherichia coli,72,1902_01,Y,1902,0,"c(-97.8837, 28.9902)",NA,NA
2012-11-06,TCEQMAIN-12911,Escherichia coli,2400,1911_09,Y,1911,1,"c(-98.4694, 29.4634)",USGS-08177700,0.53
2014-11-04,TCEQMAIN-12973,Escherichia coli,10,2104_02,N,2104,0,"c(-98.5572, 28.309)",USGS-08194500,0
2013-04-23,TCEQMAIN-11594,Escherichia coli,1400,1212B_01,N,1212B,0,"c(-96.8174, 30.4063)",USGS-08109800,2.24
2013-06-04,TCEQMAIN-21437,Escherichia coli,180,1218C_01,Y,1218C,0,"c(-97.6922, 31.0974)",NA,NA
2017-10-24,TCEQMAIN-20730,Escherichia coli,300,1008H_01,Y,1008H,1,"c(-95.5583, 30.0858)",USGS-08068325,3.41
2015-01-05,TCEQMAIN-10072,Escherichia coli,2,0299A_01,Y,0299A,0,"c(-100.2901, 35.4994)",NA,NA
2017-04-03,TCEQMAIN-14937,Escherichia coli,640,1803C_01,Y,1803C,0,"c(-97.3138, 29.5081)",NA,NA
2017-08-22,TCEQMAIN-15862,Escherichia coli,200,1006D_01,Y,1006D,1,"c(-95.3004, 29.8531)",NA,NA
2014-02-04,TCEQMAIN-12617,Escherichia coli,270,1806_06,N,1806,1,"c(-99.1425, 30.0458)",USGS-08166200,29.3
2018-01-10,TCEQMAIN-12881,Escherichia coli,140,1911_03,Y,1911,1,"c(-98.1741, 29.1102)",USGS-08183200,296
2013-02-04,TCEQMAIN-15878,Escherichia coli,430,1007D_03,Y,1007D,1,"c(-95.3039, 29.6633)",USGS-08075500,NA
2018-03-15,TCEQMAIN-20453,Escherichia coli,130,1010_02,Y,1010,1,"c(-95.4067, 30.4381)",NA,NA
2015-08-19,TCEQMAIN-10468,Escherichia coli,84,0514_01,Y,0514,0,"c(-95.092, 32.603)",USGS-08019500,4.61
2013-02-05,TCEQMAIN-16665,Escherichia coli,400,1006J_01,Y,1006J,1,"c(-95.3227, 29.8664)",USGS-08076500,10.8
2013-11-20,TCEQMAIN-11314,Escherichia coli,140,1008_02,Y,1008,1,"c(-95.6458, 30.1189)",USGS-08068275,0.19
2015-03-09,TCEQMAIN-17178,Escherichia coli,250,0841H_01,N,0841H,1,"c(-96.9362, 32.7938)",NA,NA
2016-11-15,TCEQMAIN-10706,Escherichia coli,260,0804L_01,Y,0804L,0,"c(-95.7584, 31.7224)",NA,NA
2012-12-11,TCEQMAIN-17676,Escherichia coli,22,0841F_01,Y,0841F,1,"c(-97.0196, 32.7203)",NA,NA
2015-05-21,TCEQMAIN-18828,Escherichia coli,2000,1218_02,Y,1218,0,"c(-97.7022, 31.1081)",NA,NA
2017-03-14,TCEQMAIN-11396,Escherichia coli,320,1017_01,Y,1017,1,"c(-95.5606, 29.8906)",NA,NA
2018-06-27,TCEQMAIN-12791,Escherichia coli,91,1901_02,Y,1901,1,"c(-97.3848, 28.6498)",USGS-08188500,215
2012-12-17,TCEQMAIN-12795,Escherichia coli,96,1901_05,N,1901,1,"c(-97.8346, 28.9377)",NA,NA
2012-09-25,TCEQMAIN-11362,Escherichia coli,360,1014_01,Y,1014,1,"c(-95.6056, 29.7618)",USGS-08073500,64.6
2017-05-30,TCEQMAIN-15536,Escherichia coli,11,1426B_01,N,1426B,0,"c(-99.9361, 31.7347)",USGS-08127000,5.31
2016-07-06,TCEQMAIN-10499,Escherichia coli,130,0604M_03,Y,0604M,0,"c(-94.6575, 31.2867)",NA,NA
2018-06-14,TCEQMAIN-11929,Escherichia coli,27,1221_04,N,1221,0,"c(-97.8602, 31.5251)",NA,NA
2012-04-19,TCEQMAIN-15863,Escherichia coli,780,1006D_01,Y,1006D,1,"c(-95.3176, 29.8627)",NA,NA
2015-04-15,TCEQMAIN-11126,Escherichia coli,1900,1006D_02,Y,1006D,1,"c(-95.3348, 29.8619)",USGS-08076500,32.3
2018-03-07,TCEQMAIN-16597,Escherichia coli,620,1014M_01,Y,1014M,1,"c(-95.4731, 29.779)",NA,NA
2013-05-08,TCEQMAIN-18828,Escherichia coli,14,1218_02,Y,1218,0,"c(-97.7022, 31.1081)",NA,NA
2014-04-23,TCEQMAIN-10859,Escherichia coli,150,0823C_01,Y,0823C,0,"c(-97.2506, 33.3592)",NA,NA
2013-11-20,TCEQMAIN-20289,Escherichia coli,49,0827A_01,Y,0827A,0,"c(-96.7817, 32.9248)",NA,NA
2015-10-06,TCEQMAIN-15869,Escherichia coli,17000,1007R_01,Y,1007R,1,"c(-95.3338, 29.8003)",USGS-08075763,0.41
2015-08-13,TCEQMAIN-17472,Escherichia coli,150,1414_05,N,1414,0,"c(-98.87, 30.2202)",USGS-08152900,1.91
2018-01-25,TCEQMAIN-11135,Escherichia coli,350,1007D_01,Y,1007D,1,"c(-95.446, 29.6188)",USGS-08075400,10.5
2012-09-05,TCEQMAIN-17066,Escherichia coli,30,1911_08,Y,1911,1,"c(-98.4895, 29.3799)",NA,NA
2015-02-03,TCEQMAIN-16096,Escherichia coli,45,0604D_02,Y,0604D,0,"c(-95.1309, 31.2001)",NA,NA
2013-04-01,TCEQMAIN-11425,Escherichia coli,240,1102A_02,Y,1102A,1,"c(-95.1903, 29.518)",NA,NA
2014-07-02,TCEQMAIN-12791,Escherichia coli,210,1901_02,Y,1901,1,"c(-97.3848, 28.6498)",USGS-08188500,399
2013-05-14,TCEQMAIN-11930,Escherichia coli,3500,1221_04,N,1221,0,"c(-97.8968, 31.6088)",NA,NA
2018-10-31,TCEQMAIN-11132,Escherichia coli,290,1007_02,N,1007,0,"c(-95.289, 29.6739)",USGS-08075500,NA
2013-08-28,TCEQMAIN-17066,Escherichia coli,100,1911_08,Y,1911,1,"c(-98.4895, 29.3799)",NA,NA
2013-09-10,TCEQMAIN-14937,Escherichia coli,210,1803C_01,Y,1803C,0,"c(-97.3138, 29.5081)",NA,NA
2017-03-07,TCEQMAIN-10602,Escherichia coli,74,0607_02,N,0607,0,"c(-94.1861, 30.1789)",USGS-08041749,NA
2015-12-01,TCEQMAIN-10607,Escherichia coli,78,0607_03,N,0607,0,"c(-94.3351, 30.1069)",USGS-08041700,99.1
2016-09-28,TCEQMAIN-12030,Escherichia coli,20,1242_01,N,1242,0,"c(-96.1552, 30.3616)",NA,NA
