MonitoringLocationIdentifier,CharacteristicName,AU,Impaired,TMDL,Completion_Date,geometry,USGSSite_No,tmdl_status,fa_pvalue,fa_kendallsTau,fa_slope,fa_n
TCEQMAIN-16038,Escherichia coli,0212A_01,Y,0,NA,"c(-98.6132, 33.6632)",USGS-07314500,No-TMDL,0.9158665384265181,0.019762845849802372,0.018507561065091417,23
TCEQMAIN-13657,Escherichia coli,1803B_01,Y,0,NA,"c(-97.45, 29.2154)",USGS-08175000,No-TMDL,0.13225305304871732,0.12727272727272726,0.12972262476458016,66
TCEQMAIN-16244,Escherichia coli,1806_10,N,0,NA,"c(-99.1446, 30.0471)",USGS-08166200,No-TMDL,0.345635034735981,-0.07686116700201207,-0.07955228138005493,71
TCEQMAIN-13546,Escherichia coli,1213_04,Y,0,NA,"c(-97.346, 30.9666)",USGS-08104500,No-TMDL,0.7703961609830146,0.042735042735042736,0.04004358460574777,27
TCEQMAIN-15635,Escherichia coli,0824_03,Y,0,NA,"c(-97.1561, 33.6239)",USGS-08050400,No-TMDL,0.46906326827448025,-0.10666666666666667,-0.08260504165466045,25
TCEQMAIN-13700,Escherichia coli,1806_01,N,0,NA,"c(-98.3836, 29.8607)",USGS-08167500,No-TMDL,0.9030967839387655,-0.01072261072261072,-0.010800913939901732,66
TCEQMAIN-15767,Escherichia coli,1242_02,N,0,NA,"c(-96.5442, 30.6278)",USGS-08108700,No-TMDL,0.9710777422471889,-0.0034100596760443308,-0.003187575698976889,69
TCEQMAIN-12924,Escherichia coli,1913_02,N,0,NA,"c(-98.2307, 29.5508)",USGS-08185065,No-TMDL,0.1250900207203498,0.1831932773109244,0.1460736360642051,35
TCEQMAIN-16243,Escherichia coli,1806_10,N,0,NA,"c(-99.1416, 30.0448)",USGS-08166200,No-TMDL,0.4871128434793666,0.056740442655935606,0.04102399045700607,71
TCEQMAIN-13690,Escherichia coli,0804_01,N,0,NA,"c(-95.6561, 31.3383)",USGS-08065350,No-TMDL,0.647170752610946,-0.03968253968253968,-0.04957843582653007,64
TCEQMAIN-12964,Escherichia coli,2102_02,N,0,NA,"c(-97.7758, 27.9378)",USGS-08211200,No-TMDL,0.5351853194474852,0.09420289855072464,0.04313304884580737,24
TCEQMAIN-13547,Escherichia coli,1215_01,N,0,NA,"c(-97.405, 30.9839)",USGS-08104500,No-TMDL,0.5727823105937271,-0.09090909090909091,-0.027373903092020466,22
TCEQMAIN-12741,Escherichia coli,1902A_01,Y,0,NA,"c(-98.1689, 29.4442)",USGS-08185100,No-TMDL,0.8444667630816368,0.024024024024024024,0.012544011537599051,37
TCEQMAIN-13625,Escherichia coli,0608_02,N,0,NA,"c(-94.2646, 30.3979)",USGS-08041500,No-TMDL,0.9578745987779059,0.011857707509881422,0.007299483616201206,23
TCEQMAIN-13651,Escherichia coli,1426_02,N,0,NA,"c(-100.0269, 31.7147)",USGS-08126380,No-TMDL,0.45029515330704106,0.12380952380952383,0.10003618519775628,21
TCEQMAIN-17212,Escherichia coli,1225A_01,N,0,NA,"c(-97.3565, 31.5556)",USGS-08095400,No-TMDL,0.293917170251957,0.18128654970760233,0.08098196262395634,19
TCEQMAIN-13543,Escherichia coli,1206_01,N,0,NA,"c(-97.9257, 32.6158)",USGS-08090800,No-TMDL,0.3887745208543449,0.07080745341614907,0.07077547906725445,70
TCEQMAIN-14477,Escherichia coli,0611C_02,N,0,NA,"c(-95.1606, 31.9769)",USGS-08034500,No-TMDL,0.942139359457642,0.009446693657219974,0.006982924272801219,39
TCEQMAIN-12805,Escherichia coli,1902_04,N,0,NA,"c(-98.0533, 29.2798)",USGS-08185500,No-TMDL,0.020609271792487987,0.27586216653152046,0.12093293148993779,35
TCEQMAIN-13740,Escherichia coli,0821D_01,Y,0,NA,"c(-96.609, 33.2438)",USGS-08059000,No-TMDL,0.7350804926819566,-0.05627705627705628,-0.03830741757790203,22
TCEQMAIN-13647,Escherichia coli,1222C_01,Y,0,NA,"c(-98.6056, 32.1142)",USGS-08099300,No-TMDL,0.4719390404163103,0.10869565217391304,0.08446173783926719,24
TCEQMAIN-12965,Escherichia coli,2102_02,N,0,NA,"c(-97.8608, 28.0382)",USGS-08211000,No-TMDL,0.7849697273207378,-0.043478260869565216,-0.035743068479629374,24
TCEQMAIN-12979,Escherichia coli,2106_01,N,0,NA,"c(-98.1784, 28.428)",USGS-08210000,No-TMDL,0.6374381847429542,0.07246376811594203,0.06857407925086931,24
TCEQMAIN-12944,Escherichia coli,2002_01,N,0,NA,"c(-97.2788, 28.2925)",USGS-08189500,No-TMDL,0.5973541948267042,-0.08300395256916997,-0.07979725408460082,23
TCEQMAIN-12886,Escherichia coli,1911_05,Y,0,NA,"c(-98.3558, 29.2219)",USGS-08181800,No-TMDL,0.2578567219573975,0.1294452347083926,0.0794333530412853,38
TCEQMAIN-13667,Escherichia coli,1410_04,N,0,NA,"c(-99.5736, 31.4936)",USGS-08136700,No-TMDL,0.4011025728919407,0.14619883040935672,0.19854716038361003,19
TCEQMAIN-12973,Escherichia coli,2104_02,N,0,NA,"c(-98.5572, 28.309)",USGS-08194500,No-TMDL,0.7916993472718744,0.043478260869565216,0.057802163530773894,23
TCEQMAIN-13648,Escherichia coli,1214_02,N,0,NA,"c(-97.2788, 30.6947)",USGS-08105700,No-TMDL,1,0,-0.003631096717528389,21
TCEQMAIN-15113,Escherichia coli,1806_02,N,0,NA,"c(-99.102, 29.9809)",USGS-08166250,No-TMDL,0.8740921801633091,-0.02766798418972332,-0.012341300360097958,23
TCEQMAIN-14226,Escherichia coli,1256_02,N,0,NA,"c(-97.1017, 31.5517)",USGS-08096500,No-TMDL,1,-0.006535947712418302,-0.0053903314857804635,18
TCEQMAIN-17134,Escherichia coli,1804_02,N,0,NA,"c(-97.8809, 29.5358)",USGS-08169792,No-TMDL,0.6946444974614776,0.06666666666666668,0.03964107162105164,21
TCEQMAIN-16704,Escherichia coli,2112_03,N,0,NA,"c(-100.0006, 29.3981)",USGS-08190000,No-TMDL,0.17589574902276725,0.21212121212121213,0.15934368472974653,22
TCEQMAIN-12993,Escherichia coli,2110_01,N,0,NA,"c(-99.4802, 29.3145)",USGS-08198500,No-TMDL,0.2078568034565866,0.21637426900584794,0.16051421799182608,19
TCEQMAIN-17976,Escherichia coli,1007D_01,Y,1,2010-09-27,"c(-95.465, 29.6198)",USGS-08075400,Post-TMDL,0.1442731498145868,0.11966873706004141,0.11119403687089542,70
TCEQMAIN-17484,Escherichia coli,1014A_01,Y,1,2009-06-11,"c(-95.691, 29.8451)",USGS-08072730,Post-TMDL,0.3413745699041201,0.07531531531531531,0.04335624948239205,75
TCEQMAIN-20933,Escherichia coli,0805_04,Y,1,2011-08-03,"c(-96.8352, 32.7899)",USGS-08057000,Post-TMDL,0.07996854080618064,-0.21590909090909086,-0.1438605497732271,33
TCEQMAIN-20730,Escherichia coli,1008H_01,Y,1,2011-06-29,"c(-95.5583, 30.0858)",USGS-08068325,Post-TMDL,0.4629192952859548,-0.0594679186228482,-0.04390424820159729,72
TCEQMAIN-20452,Escherichia coli,1010_04,Y,1,2011-06-29,"c(-95.2553, 30.2047)",USGS-08070500,Post-TMDL,0.6091749235356739,0.06218487394957985,0.036899154291224034,35
TCEQMAIN-17482,Escherichia coli,1014E_01,Y,1,2009-06-11,"c(-95.6446, 29.866)",USGS-08072760,Post-TMDL,0.30186837524025756,-0.08410462776659958,-0.059300354124741404,71
TCEQMAIN-17672,Escherichia coli,0841E_01,N,1,2013-11-07,"c(-96.953, 32.7431)",USGS-08050100,Pre-TMDL,0.027832894858288524,-0.1348055818994716,-0.11066688044294097,122
TCEQMAIN-20456,Escherichia coli,1008H_01,Y,1,2011-06-29,"c(-95.725, 30.022)",USGS-08068780,Post-TMDL,0.32663412274140197,-0.11411411411411411,-0.059485360117671374,37
TCEQMAIN-20457,Escherichia coli,1009_01,Y,0,NA,"c(-95.8084, 29.9501)",USGS-08068720,No-TMDL,0.4148909396584853,0.13333333333333336,0.11483968725954602,21
TCEQMAIN-21125,Escherichia coli,1905_02,N,0,NA,"c(-99.2486, 29.7939)",USGS-0817887350,No-TMDL,0.3692092650321578,0.1383399209486166,0.05270694700325707,23
TCEQMAIN-21559,Escherichia coli,0818B_01,Y,0,NA,"c(-96.1128, 32.5036)",USGS-08062800,No-TMDL,0.5925510100829449,0.06854838709677419,0.05386288688472393,32
TCEQMAIN-17612,Escherichia coli,1246_01,N,0,NA,"c(-97.3665, 31.5093)",USGS-08095300,No-TMDL,0.4487180156191448,0.13725490196078433,0.07689553056162692,18
TCEQMAIN-20309,Escherichia coli,1250_01,N,0,NA,"c(-97.7343, 30.6198)",USGS-08104900,No-TMDL,0.9406815986652011,0.014492753623188406,0.016171669714270975,24
TCEQMAIN-20213,Escherichia coli,1204_02,N,0,NA,"c(-97.7029, 32.2586)",USGS-08091000,No-TMDL,0.8745150105231492,-0.01427815970386039,-0.01722137181270898,62
TCEQMAIN-20905,Escherichia coli,1221_05,N,0,NA,"c(-98.1057, 31.7869)",USGS-08100000,No-TMDL,0.9206508791608752,0.008857808857808855,0.006731994014426317,66
TCEQMAIN-20166,Escherichia coli,0206A_01,N,0,NA,"c(-99.7405, 34.3545)",USGS-07299670,No-TMDL,0.32728558022195514,-0.1695906432748538,-0.13555856506254735,19
TCEQMAIN-21000,Escherichia coli,0818C_01,Y,0,NA,"c(-96.3389, 32.5564)",USGS-08062895,No-TMDL,0.3078304301336963,-0.13118279569892474,-0.17774367705315375,31
TCEQMAIN-17472,Escherichia coli,1414_05,N,0,NA,"c(-98.87, 30.2202)",USGS-08152900,No-TMDL,0.355310453336267,-0.11693548387096774,-0.11176315391301132,32
TCEQMAIN-18801,Escherichia coli,2310_02,N,0,NA,"c(-101.7412, 30.3141)",USGS-08447300,No-TMDL,0.04839822318129834,0.30735930735930733,0.17781507514199585,22
TCEQMAIN-18759,Escherichia coli,1217F_01,N,0,NA,"c(-97.7847, 30.9793)",USGS-08103940,No-TMDL,0.3228692401138355,0.08813559322033898,0.13089352905723536,60
TCEQMAIN-21025,Escherichia coli,0214C_01,N,0,NA,"c(-98.4989, 33.8843)",USGS-07312610,No-TMDL,0.16298441329664065,0.23157894736842108,0.19203712467600897,20
TCEQMAIN-20539,Escherichia coli,1901F_01,Y,0,NA,"c(-97.7722, 28.9203)",USGS-08186500,No-TMDL,1,0,0,37
TCEQMAIN-21548,Escherichia coli,1415_05,N,0,NA,"c(-99.7791, 30.503)",USGS-08148500,No-TMDL,0.4873503903353206,-0.1142857142857143,-0.09442516451154889,21
TCEQMAIN-20287,Escherichia coli,0822_01,N,0,NA,"c(-96.9161, 32.856)",USGS-08055560,No-TMDL,0.747106327334731,-0.050724637681159424,-0.05655795181364602,24
TCEQMAIN-21558,Escherichia coli,0806_02,N,0,NA,"c(-97.3513, 32.765)",USGS-08045550,No-TMDL,0.8621556082271453,0.028985507246376812,0.04875259146732276,24
TCEQMAIN-21739,Escherichia coli,1250_01,N,0,NA,"c(-97.8195, 30.6119)",USGS-08104900,No-TMDL,0.49566272449002946,0.11578947368421054,0.1382383307444584,20
